bottle_id,camera_name,frame_number,ocr_text,confidence,timestamp,processing_time
1,Front,0,qucuc;,0.5721156966365644,1763907600.220705,1763907600.220705
1,Back Left,0,Prim,0.5223432183265686,1763907603.0593526,1763907603.0593526
1,Back Right,0,10,0.9975625276565552,1763907605.808175,1763907605.808175
-1,Back Left,0,ch,0.9108086580750622,1763907606.743041,1763907606.743041
-1,Front,0,sttle,0.5874673104588984,1763907608.426002,1763907608.426002
1,Back Right,0,K),0.9690243937843095,1763907609.9630167,1763907609.9630167
-1,Back Left,0,tqqe,0.552442193031311,1763907612.427295,1763907612.427295
2,Top,0,6,0.8874477211537943,1763907612.4854765,1763907612.4854765
-1,Front,0,ottle,0.9997810447248671,1763907613.6494985,1763907613.6494985
4,Back Right,0,3,0.681207814950767,1763907614.6555378,1763907614.6555378
-1,Back Left,0,tch,0.99968547402218,1763907617.0344503,1763907617.0344503
-1,Front,0,le,0.9290358400307859,1763907617.9483354,1763907617.9483354
4,Top,0,5,0.5117871541806416,1763907618.101864,1763907618.101864
5,Back Right,0,K),0.8476736585693877,1763907619.4639864,1763907619.4639864
5,Back Left,0,h que,0.6315647077875142,1763907620.590017,1763907620.590017
5,Front,0,e,0.9999068997118776,1763907621.9078546,1763907621.9078546
5,Back Right,0,842,0.7410042111522538,1763907623.660866,1763907623.660866
-1,Back Left,0,ch,0.9470091396417301,1763907625.296454,1763907625.296454
-1,Front,0,ttle,0.9999940395355225,1763907626.5597517,1763907626.5597517
7,Back Right,0,K),0.9672527324018256,1763907628.0358715,1763907628.0358715
-1,Back Left,0,tch qu,0.6409745583542071,1763907629.9508927,1763907629.9508927
7,Front,0,ucuc;,0.5321809629022202,1763907631.8806767,1763907631.8806767
7,Back Right,0,K),0.8905249478904498,1763907632.2804477,1763907632.2804477
-1,Back Left,0,ch,0.9453828667992652,1763907633.8544266,1763907633.8544266
8,Front,0,le 7 (C,0.649998246372815,1763907635.2141893,1763907635.2141893
8,Back Right,0,RIMAGA,0.8637759724098673,1763907636.8833215,1763907636.8833215
-1,Back Left,0,quc,0.8651544134235578,1763907637.8899257,1763907637.8899257
-1,Front,0,39,0.9996850089865381,1763907639.178591,1763907639.178591
10,Back Right,0,K),0.9835117906253531,1763907640.8053434,1763907640.8053434
-1,Back Left,0,ch,0.7351629088309821,1763907642.3255405,1763907642.3255405
9,Top,0,C,0.8182046928006947,1763907643.7121344,1763907643.7121344
-1,Front,0,le 9 43,0.9954303685901592,1763907643.7434266,1763907643.7434266
10,Back Right,0,K),0.9950318116502629,1763907645.2270255,1763907645.2270255
-1,Back Left,0,quc,0.6267351514634659,1763907646.0239768,1763907646.0239768
11,Front,0,10 (C,0.7149337701075692,1763907647.509304,1763907647.509304
11,Back Right,0,642,0.7635010324556821,1763907649.1145806,1763907649.1145806
-1,Back Left,0,tch,0.9996847169734554,1763907649.9584625,1763907649.9584625
12,Top,0,0,0.9897016961872964,1763907651.1289935,1763907651.1289935
12,Front,0,10,0.656315302975443,1763907651.4524066,1763907651.4524066
12,Back Right,0,OK),0.5151946398807875,1763907652.6819649,1763907652.6819649
-1,Back Left,0,quc,0.6026013858650278,1763907653.8448792,1763907653.8448792
-1,Front,0,le 12,0.8643532208007771,1763907654.9622526,1763907654.9622526
13,Top,0,0,0.5332461736494487,1763907655.3628526,1763907655.3628526
14,Back Right,0,Ok),0.7810267857013494,1763907656.448427,1763907656.448427
-1,Back Left,0,ch,0.9635801793388067,1763907656.509659,1763907656.509659
-1,Front,0,Ok),0.6273732189970144,1763907657.702329,1763907657.702329
15,Back Right,0,K),0.7532165849147727,1763907659.0697565,1763907659.0697565
-1,Back Left,0,tch,0.9994675159846077,1763907660.389191,1763907660.389191
14,Top,0,ic,0.7517167169019234,1763907661.489849,1763907661.489849
-1,Front,0,14 (C 65,0.9379797847668988,1763907661.635392,1763907661.635392
15,Back Right,0,(NOK),0.9510816905247929,1763907663.3417947,1763907663.3417947
-1,Back Left,0,h quc,0.5226685623380505,1763907664.5015914,1763907664.5015914
-1,Front,0,15,0.9998059614237738,1763907665.64291,1763907665.64291
16,Back Right,0,HAGAZ,0.5389435466109888,1763907668.1170402,1763907668.1170402
-1,Back Left,0,ch,0.8050419693597372,1763907668.6994588,1763907668.6994588
-1,Front,0,16,0.9999103969758875,1763907669.994533,1763907669.994533
17,Back Right,0,Ok),0.5084776880975989,1763907671.650035,1763907671.650035
-1,Back Left,0,que,0.6813984327219986,1763907672.6692493,1763907672.6692493
-1,Front,0,17 (,0.9116930309402037,1763907673.8774357,1763907673.8774357
-1,Back Left,0,h que,0.7634049632301162,1763907677.375096,1763907677.375096
-1,Front,0,18 83,0.9999382981048108,1763907678.835396,1763907678.835396
20,Back Right,0,Ok),0.5983167146847232,1763907681.0218694,1763907681.0218694
-1,Back Left,0,ch quc,0.9587208980848617,1763907682.362185,1763907682.362185
-1,Front,0,9,0.5190852857258823,1763907684.0753126,1763907684.0753126
20,Back Right,0,K),0.658096931500535,1763907687.4627664,1763907687.4627664
21,Back Left,0,h quc,0.5097354123107463,1763907690.0792425,1763907690.0792425
-1,Front,0,20,0.8737955147658089,1763907692.3434615,1763907692.3434615
22,Back Right,0,K),0.9785633396197635,1763907695.9302297,1763907695.9302297
-1,Back Left,0,h que,0.6388418273536267,1763907699.9133632,1763907699.9133632
-1,Front,0,97,0.999515139994801,1763907702.573024,1763907702.573024
22,Back Right,0,K),0.96558973197782,1763907706.0986679,1763907706.0986679
-1,Back Left,0,1 que,0.5306485695217558,1763907708.099137,1763907708.099137
-1,Front,0,2 (0,0.8947453859120684,1763907711.4190195,1763907711.4190195
23,Back Right,0,Ok),0.7092700749098128,1763907714.82505,1763907714.82505
-1,Back Left,0,h que,0.6697334166994663,1763907717.3833113,1763907717.3833113
-1,Front,0,23 107,0.9993343796554935,1763907720.11864,1763907720.11864
24,Top,0,0,0.994777958221281,1763907720.3674653,1763907720.3674653
24,Back Right,0,JK),0.5711734288654738,1763907723.7365367,1763907723.7365367
-1,Back Left,0,que,0.6811485000213989,1763907725.4299207,1763907725.4299207
-1,Front,0,24 (( 112,0.9446730691083556,1763907727.8640976,1763907727.8640976
25,Back Right,0,OK),0.7312636375427246,1763907730.5419476,1763907730.5419476
26,Back Left,0,quc,0.9356832129326106,1763907732.8515375,1763907732.8515375
-1,Front,0,25,0.9999880303160049,1763907735.1829276,1763907735.1829276
27,Back Right,0,K),0.8328126901606302,1763907737.954709,1763907737.9557073
-1,Back Left,0,h que,0.5604323763940644,1763907741.3658893,1763907741.3658893
-1,Front,0,le 26,0.9840935500700057,1763907743.731483,1763907743.731483
27,Back Right,0,K),0.9362831839451671,1763907747.5840273,1763907747.5840273
-1,Back Left,0,que,0.9550766489078847,1763907751.2141507,1763907751.2141507
-1,Front,0,e 27,0.7778659613149916,1763907753.6654422,1763907753.6654422
28,Back Right,0,JK),0.5926666144513189,1763907757.5575206,1763907757.5575206
28,Top,0,0,0.6714852467053447,1763907764.5705328,1763907764.5705328
-1,Back Left,0,h quc,0.8622007438048578,1763907765.500417,1763907765.500417
29,Front,0,Ucuc;,0.533964786627687,1763907769.7372944,1763907769.7372944
29,Back Right,0,Ok),0.716361657622547,1763907770.5183022,1763907770.5183022
30,Front,0,Ucuc,0.6700946092605591,1763907792.267774,1763907792.267774
-1,Back Left,0,que,0.956134169175531,1763907793.6784794,1763907793.6784794
30,Back Right,0,PRIMA,0.6807853171605484,1763907794.4971633,1763907794.4971633
30,Back Left,0,PR,0.6013383647736625,1763907795.0945282,1763907795.0945282
31,Front,0,Ok),0.5442628162324007,1763907797.7017286,1763907797.7017286
31,Back Right,0,K),0.7709636558272401,1763907800.0852425,1763907800.0852425
-1,Back Left,0,1 quc,0.7242841685678068,1763907802.7721186,1763907802.7721186
-1,Front,0,31,0.9999429336440414,1763907805.0993302,1763907805.0993302
32,Back Right,0,K),0.6305952746276537,1763907807.8564043,1763907807.8564043
-1,Back Left,0,quc,0.6663903049845482,1763907810.256925,1763907810.256925
-1,Front,0,32 148,0.9999436823000851,1763907813.1383252,1763907813.1383252
34,Back Right,0,(Ok,0.651375730588641,1763907818.4486616,1763907818.4486616
-1,Back Left,0,h que,0.8336484289180967,1763907823.85983,1763907823.85983
-1,Front,0,tle 3 ID:,0.9970211468734012,1763907827.2428565,1763907827.2428565
34,Back Right,0,K),0.522904189763871,1763907829.6812685,1763907829.6812685
-1,Back Left,0,quc,0.8604837665040732,1763907833.0701134,1763907833.0701134
-1,Front,0,tle 3 ID: 15,0.8420199695050955,1763907835.8300934,1763907835.8300934
35,Back Right,0,Uk,0.6529202638308388,1763907838.63104,1763907838.63104
-1,Back Left,0,que,0.7450811874570632,1763907840.7771986,1763907840.7771986
-1,Front,0,35 164,0.9995604125923648,1763907843.3501046,1763907843.3501046
36,Back Right,0,Ok),0.7949650382496991,1763907846.3623967,1763907846.3623967
-1,Back Left,0,h que,0.7423518523731497,1763907852.0208585,1763907852.0208585
-1,Front,0,ttle,0.9998416304588318,1763907854.3580441,1763907854.3580441
37,Top,0,0,0.9910727601078442,1763907854.4457123,1763907854.4457123
37,Back Right,0,JK),0.5676500992869645,1763907858.0629463,1763907858.0629463
-1,Back Left,0,que,0.9489810660910588,1763907861.866335,1763907861.866335
38,Front,0,"44G""",0.5399723649024963,1763907865.0692105,1763907865.0692105
39,Back Right,0,Ok),0.5656193432659383,1763907868.0309,1763907868.0309
-1,Back Left,0,quc,0.5583884904303493,1763907870.4955854,1763907870.4955854
-1,Front,0,tle 3e,0.7489853624300856,1763907872.638111,1763907872.638111
39,Back Right,0,K) 0,0.7234520546995942,1763907875.205589,1763907875.205589
40,Back Left,0,Uc,0.6902029185187496,1763907881.2818658,1763907881.2818658
-1,Front,0,tle ID:,0.9808036141042769,1763907886.0150735,1763907886.0150735
40,Back Right,0,JK),0.6385848852574516,1763907890.994678,1763907890.994678
-1,Back Left,0,que,0.759979440145129,1763907894.4779575,1763907894.4779575
-1,Front,0,40,0.7086211648097719,1763907898.5120757,1763907898.5120757
40,Top,0,(,0.9950774838798679,1763907900.638107,1763907900.638107
41,Back Right,0,K),0.776141664372468,1763907902.6632469,1763907902.6632469
42,Back Left,0,quc,0.8848728639931441,1763907907.2465897,1763907907.2465897
-1,Front,0,41,0.9999922449886813,1763907911.7509596,1763907911.7509596
42,Back Right,0,K),0.7948330884353819,1763907916.4480546,1763907916.4480546
-1,Back Left,0,quc,0.8362984869252362,1763907921.080349,1763907921.080349
-1,Front,0,42 95,0.9997322199250487,1763907926.534032,1763907926.534032
44,Back Right,0,K),0.516387614390396,1763907931.9644623,1763907931.9644623
44,Back Left,0,1 quc,0.7045698444921554,1763907938.7079842,1763907938.7079842
-1,Front,0,tle 43 ID: 20,0.8474463543072545,1763907944.3085525,1763907944.3085525
44,Back Right,0,K),0.8689705697570962,1763907948.9551094,1763907948.9551094
-1,Back Left,0,qu,0.9990632883996471,1763907950.8232548,1763907950.8232548
-1,Front,0,204,0.9999004789682105,1763907954.6334777,1763907954.6334777
45,Back Right,0,Ok),0.5966315984805296,1763907958.6330917,1763907958.6330917
-1,Back Left,0,h que,0.7588771696513372,1763907963.2286837,1763907963.2286837
-1,Front,0,ottle,0.5891231439937533,1763907965.4881196,1763907965.4881196
46,Back Right,0,RIMAGA?,0.6300847552958585,1763907970.2129211,1763907970.2129211
-1,Back Left,0,h que,0.9729439172011612,1763907970.5115838,1763907970.5115838
-1,Front,0,6 (O,0.5084704345934546,1763907973.1211936,1763907973.1211936
47,Back Right,0,Ok),0.5549860850765125,1763907975.8610713,1763907975.8610713
-1,Back Left,0,quc,0.6172899738365584,1763907979.4310992,1763907979.4310992
-1,Front,0,tle ID: 2,0.6344569875021726,1763907983.0311184,1763907983.0311184
48,Back Right,0,Prim,0.5866339802742004,1763907987.0077276,1763907987.0077276
-1,Back Right,0,Bottle48 YCLO PRIMAGA,0.9484723298177714,1763907989.8582196,1763907989.8582196
-1,Back Right,0,IBotle YCLO ID: PRIMAGA,0.871205333059326,1763907990.5000823,1763907990.5000823
-1,Back Left,0,ch qu,0.998174813555757,1763907991.2325277,1763907991.2325277
49,Top,0,5,0.641793895983156,1763907993.9696767,1763907993.9696767
-1,Front,0,e,0.959333136508068,1763907994.0541644,1763907994.0541644
49,Back Right,0,8037,0.5831654071807861,1763907996.651256,1763907996.651256
50,Back Left,0,h que,0.6676430667634087,1763908007.7742586,1763908007.7742586
50,Front,0,Ucu: GAZ,0.8134412189974101,1763908014.8210618,1763908014.8210618
50,Back Right,0,MAGA,0.7533264756202698,1763908017.0055778,1763908017.0055778
51,Back Left,0,quc,0.9011187304217229,1763908019.3529768,1763908019.3529768
-1,Front,0,50 236,0.9792590988334215,1763908022.4962358,1763908022.4962358
51,Back Right,0,Ok),0.6033454507769768,1763908026.0080392,1763908026.0080392
-1,Back Left,0,h que,0.7911121455622349,1763908030.0241463,1763908030.0241463
-1,Front,0,le 51 D: 24,0.8799521533909105,1763908032.3158445,1763908032.3158445
52,Back Right,0,OK),0.5047450698196703,1763908035.3752098,1763908035.3752098
-1,Back Left,0,h que,0.943437004653912,1763908036.9752011,1763908036.9752011
-1,Front,0,e 52 245,0.8139398237711433,1763908038.6624503,1763908038.6624503
53,Back Right,0,Ok),0.6035507028709325,1763908041.0898824,1763908041.0898824
-1,Back Left,0,h quc,0.63136736114151,1763908041.226557,1763908041.226557
-1,Front,0,Ok),0.6266306793460256,1763908043.0484402,1763908043.0484402
55,Back Right,0,8,0.726059096796039,1763908046.9969847,1763908046.9969847
55,Back Left,0,quc,0.5082623873069745,1763908049.9998586,1763908049.9998586
-1,Front,0,ttle,0.8380921648761483,1763908052.2669013,1763908052.2669013
55,Back Right,0,K),0.8652634588102605,1763908055.0238676,1763908055.0238676
-1,Back Left,0,h quc,0.5523802270627063,1763908058.632875,1763908058.632875
-1,Front,0,ttle,0.9999972581863403,1763908061.2438064,1763908061.2438064
56,Back Right,0,Ok),0.7976216933271392,1763908064.75729,1763908064.75729
-1,Back Left,0,h que,0.5763175286032275,1763908069.3686275,1763908069.3686275
-1,Front,0,tle,0.9999977975838318,1763908072.558628,1763908072.558628
57,Back Right,0,JK),0.6192099750522362,1763908077.6101086,1763908077.6101086
-1,Back Left,0,quc,0.6356963895536161,1763908080.6911895,1763908080.6911895
-1,Front,0,57 26,0.9999912756144731,1763908084.3578246,1763908084.3578246
58,Back Right,0,(OK),0.7298198854434377,1763908087.872078,1763908087.872078
-1,Back Left,0,h que,0.6067130445482183,1763908091.2194378,1763908091.2194378
-1,Front,0,58 27,0.8635133275717377,1763908095.3239522,1763908095.3239522
60,Back Right,0,K),0.7561913734648242,1763908097.8544044,1763908097.8544044
-1,Back Left,0,que,0.5548687995187785,1763908100.639798,1763908100.639798
-1,Front,0,ttle,0.9970861673355103,1763908102.821217,1763908102.821217
-1,Back Left,0,h que,0.706618999853888,1763908107.7926986,1763908107.7926986
60,Back Right,0,Jcue:,0.5088444743982596,1763908108.7301948,1763908108.7301948
-1,Front,0,le' 6C 28,0.7771469121067338,1763908109.5443764,1763908109.5443764
61,Top,0,0,0.5139330344360395,1763908109.8314273,1763908109.8314273
61,Back Right,0,OK),0.7886786872416172,1763908111.7967887,1763908111.7967887
62,Back Left,0,h quc,0.6459928269014008,1763908113.7696204,1763908113.7696204
-1,Front,0,61 286,0.9999546468327357,1763908115.687835,1763908115.687835
62,Back Right,0,Ok),0.794766684604779,1763908118.0080364,1763908118.0080364
-1,Back Left,0,quc,0.8867616143839631,1763908121.3408058,1763908121.3408058
63,Back Right,0,K),0.7299409493550529,1763908125.7117636,1763908125.7117636
-1,Back Left,0,quc,0.7367097089339038,1763908128.4405186,1763908128.4405186
-1,Front,0,tle 6 ID: 25,0.7546559575387755,1763908132.5549617,1763908132.5549617
64,Back Right,0,OK),0.5168756556795349,1763908136.4646301,1763908136.4646301
-1,Back Left,0,quc,0.678647300934613,1763908138.939393,1763908138.939393
64,Top,0,0,0.5747449408254965,1763908141.1487756,1763908141.1487756
-1,Front,0,tle 6 ID: 29,0.9231484912687395,1763908142.055984,1763908142.055984
65,Back Right,0,(Ok),0.5536351799964905,1763908144.9222505,1763908144.9222505
-1,Back Left,0,h que,0.5482969811775211,1763908151.15483,1763908151.15483
66,Front,0,Icuc,0.689823567867279,1763908157.3784254,1763908157.3784254
66,Back Right,0,Jue:,0.5746231079101562,1763908160.3425467,1763908160.3425467
66,Top,0,6,0.9851161326091393,1763908161.2136152,1763908161.2136152
-1,Back Left,0,ch,0.998416067626875,1763908161.26658,1763908161.26658
-1,Front,0,Jottle,0.641374491725728,1763908162.4425774,1763908162.4425774
68,Back Right,0,6,0.8595777436429586,1763908164.2650244,1763908164.2650244
-1,Back Left,0,h que,0.8398556986958139,1763908166.6307607,1763908166.6307607
-1,Front,0,67,0.9999860072749682,1763908168.6162648,1763908168.6162648
69,Back Right,0,Uk),0.7192500444462202,1763908172.593537,1763908172.593537
-1,Back Left,0,quc,0.5686790199546893,1763908174.0307896,1763908174.0307896
-1,Front,0,68 315,0.8075286465550828,1763908176.9487398,1763908176.9487398
69,Top,0,44,0.8919705694605611,1763908179.2305088,1763908179.2305088
69,Back Right,0,PRIMAG,0.8782936896714671,1763908180.0738409,1763908180.0738409
-1,Back Left,0,h quc,0.8024860283204759,1763908181.346217,1763908181.346217
-1,Front,0,69 319,0.9999293341812124,1763908183.3931062,1763908183.3931062
71,Back Right,0,K),0.886947918657257,1763908185.512783,1763908185.512783
71,Back Left,0,que,0.6076705176382303,1763908187.2398388,1763908187.2398388
-1,Front,0,70 ((,0.5878314024357438,1763908189.1770208,1763908189.1770208
71,Back Right,0,2,0.570701295913878,1763908191.680878,1763908191.680878
72,Back Left,0,quc,0.957491546374502,1763908193.0506446,1763908193.0506446
71,Top,0,6,0.6580133719599104,1763908194.061541,1763908194.061541
-1,Front,0,328,0.9367681924956974,1763908194.5761578,1763908194.5761578
73,Back Right,0,Rim,0.9844907548614416,1763908196.4847674,1763908196.4847674
-1,Back Left,0,h que,0.7173697130658035,1763908198.6589797,1763908198.6589797
-1,Front,0,tle,0.9999984170133134,1763908200.0228875,1763908200.0228875
73,Back Right,0,(Ok),0.6946325898170471,1763908201.8316078,1763908201.8316078
-1,Back Left,0,que,0.7310632774951173,1763908203.0583193,1763908203.0583193
73,Top,0,6,0.9095798552074577,1763908204.5656438,1763908204.5656438
-1,Front,0,73 336,0.9995204926203547,1763908204.6299934,1763908204.6299934
74,Top,0,0,0.8319978788063622,1763908204.8786998,1763908204.8786998
75,Back Right,0,~,0.5050267645210624,1763908205.862238,1763908205.862238
75,Back Left,0,quc,0.8042558127996454,1763908207.1533604,1763908207.1533604
-1,Front,0,(O,0.7644320076519499,1763908208.516006,1763908208.516006
76,Back Right,0,K),0.9602274875400821,1763908210.707595,1763908210.707595
-1,Back Left,0,quc,0.8603958073048428,1763908212.670425,1763908212.670425
-1,Front,0,75,0.9995761133160007,1763908214.3641272,1763908214.3641272
76,Back Right,0,K),0.9801419254710226,1763908216.0002973,1763908216.0002973
-1,Back Left,0,quc,0.6289034092961832,1763908217.9806669,1763908217.9806669
-1,Front,0,tle,0.9416832687721807,1763908219.5342073,1763908219.5342073
77,Back Right,0,JK),0.7443623517284599,1763908221.7135956,1763908221.7135956
-1,Back Left,0,h que,0.6173309966992861,1763908223.7735744,1763908223.7735744
77,Top,0,C,0.5250908802523213,1763908225.018936,1763908225.018936
-1,Front,0,35,0.9997402167101802,1763908225.3481584,1763908225.3481584
